manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Canada Brick,CB-SIERRA-SANDSTONE,Buff,#B3A78E,68.8772,0.1909,14.513,Buff
Canada Brick,CB-SIERRA-SANDSTONE-SMOOTH,Buff,#B7AA8E,70.0143,0.1142,16.1512,Buff
Canada Brick,CB-SPRING-HILL-MATT,Buff,#C0B2A4,73.3684,2.6332,8.9571,Cream
Canada Brick,CB-SPRING-HILL-VELOUR,Buff,#C5B8A5,75.3691,1.4395,11.3166,Cream
Canada Brick,CB-SPRING-HILL-VELOUR-2,Buff,#C5B7A5,75.1103,1.9732,10.9495,Cream
Canada Brick,CB-SUNDANCE-BARK,Buff,#B6845B,59.1617,14.2952,29.6288,Orange
Canada Brick,CB-SUNDANCE-MATT,Buff,#A98F68,60.8517,4.1219,24.3999,Buff
Canada Brick,CB-SUNDANCE-RUGG,Buff,#987047,50.3564,10.7835,28.8478,Orange
Canada Brick,CB-SUNDANCE-SMOOTH,Buff,#B2986E,64.1991,3.6046,25.6972,Buff
Canada Brick,CB-SUNDANCE-SMOOTH-IRONSPOT,Buff,#C8AF82,72.5953,2.4935,26.4259,Buff
Canada Brick,CB-SUNNYDALE-MATT,Buff,#9C8767,57.4391,3.0527,20.1678,Buff
Canada Brick,CB-TAUPE-MATT,Buff,#8A7A62,52.0673,2.2349,15.4205,Buff
Canada Brick,CB-ADELAIDE-SMOOTH-IRONSPOT,Buff,#A0947E,61.7918,0.7295,13.2532,Grey
Canada Brick,CB-CORTES,Buff,#9D8A75,58.6297,3.7433,13.8862,Grey
Canada Brick,CB-ADELAIDE-VELOUR,Buff,#B9A27E,67.7702,2.9959,21.851,Buff
Canada Brick,CB-GEORGETOWN,Buff,#AB8969,59.4975,8.4189,22.0712,Buff
Canada Brick,CB-GEORGETOWN-MK-II,Buff,#AC865E,58.6293,9.2591,27.0715,Buff
Canada Brick,CB-HERITAGE-BEIGE,Buff,#926D58,49.195,11.7732,17.4548,Buff
Canada Brick,CB-BURLINGTON-MATT,Buff,#977960,53.0572,7.9869,18.1392,Buff
Canada Brick,CB-OCEAN-MIST-AVANTI,Buff,#C6BDAD,76.9316,0.4326,9.2203,Cream
Canada Brick,CB-OLD-AZTEC,Buff,#A77A57,54.8892,13.1559,26.0093,Orange
Canada Brick,CB-OSIANA-MATT,Buff,#A58967,58.8537,5.6781,22.2226,Buff
Canada Brick,CB-OSIANA-SMOOTH,Buff,#B1926E,62.5335,6.4989,23.4611,Buff
Canada Brick,CB-OSIANA-SMOOTH-IRONSPOT,Buff,#AD916B,61.8235,5.0367,24.1028,Buff
Canada Brick,CB-PORT-CARTIER,Buff,#AA8B64,59.8267,6.2919,25.2773,Buff
Canada Brick,CB-ADELAIDE,Buff,#AB9F89,65.9509,0.6827,13.0749,Buff
